date,max_ratio,max_ratio_hi,max_ratio_lo
2019-01-06,978.7454176974691,1119.1857806798419,857.9076859620831
2019-01-13,924.370672269832,1057.860532423412,809.5748585839377
2019-01-20,924.370672269832,1057.860532423412,809.5748585839377
2019-01-27,679.6843178454646,781.8969152694785,592.0771353822827
2019-02-03,679.6843178454646,781.8969152694785,592.0771353822827
2019-02-10,679.6843178454646,781.8969152694785,592.0771353822827
2019-02-17,706.8716905592833,812.5595393976934,616.2435490713556
2019-02-24,625.3095724178276,720.5716670130488,543.7443080041372
2019-03-03,679.6843178454646,781.8969152694785,592.0771353822827
2019-03-10,652.496945131646,751.2342911412636,567.9107216932099
2019-03-17,706.8716905592833,812.5595393976934,616.2435490713556
2019-03-24,679.6843178454646,781.8969152694785,592.0771353822827
2019-03-31,978.7454176974691,1119.1857806798419,857.9076859620831
2019-04-07,1005.9327904112877,1149.8484048080566,882.0740996511558
2019-04-14,1060.3075358389249,1211.1736530644864,930.4069270293015
2019-04-21,1005.9327904112877,1149.8484048080566,882.0740996511558
2019-04-28,1087.4949085527435,1241.8362771927011,954.5733407183743
2019-05-05,1250.619144835655,1425.8120219619902,1099.5718228528108
2019-05-12,1060.3075358389249,1211.1736530644864,930.4069270293015
2019-05-19,1141.8696539803805,1303.1615254491307,1002.9061680965197
2019-05-26,1141.8696539803805,1303.1615254491307,1002.9061680965197
2019-06-02,1087.4949085527435,1241.8362771927011,954.5733407183743
2019-06-09,1141.8696539803805,1303.1615254491307,1002.9061680965197
2019-06-16,1033.1201631251063,1180.5110289362715,906.2405133402287
2019-06-23,1033.1201631251063,1180.5110289362715,906.2405133402287
2019-06-30,1060.3075358389249,1211.1736530644864,930.4069270293015
2019-07-07,1141.8696539803805,1303.1615254491307,1002.9061680965197
2019-07-14,1114.6822812665619,1272.4989013209158,978.7397544074471
2019-07-21,1087.4949085527435,1241.8362771927011,954.5733407183743
2019-07-28,1087.4949085527435,1241.8362771927011,954.5733407183743
2019-08-04,1250.619144835655,1425.8120219619902,1099.5718228528108
2019-08-11,1087.4949085527435,1241.8362771927011,954.5733407183743
2019-08-18,1087.4949085527435,1241.8362771927011,954.5733407183743
2019-08-25,1087.4949085527435,1241.8362771927011,954.5733407183743
2019-09-01,1033.1201631251063,1180.5110289362715,906.2405133402287
2019-09-08,1033.1201631251063,1180.5110289362715,906.2405133402287
2019-09-15,1087.4949085527435,1241.8362771927011,954.5733407183743
2019-09-22,1005.9327904112877,1149.8484048080566,882.0740996511558
2019-09-29,1033.1201631251063,1180.5110289362715,906.2405133402287
2019-10-06,951.5580449836505,1088.523156551627,833.7412722730103
2019-10-13,951.5580449836505,1088.523156551627,833.7412722730103
2019-10-20,978.7454176974691,1119.1857806798419,857.9076859620831
2019-10-27,924.370672269832,1057.860532423412,809.5748585839377
2019-11-03,978.7454176974691,1119.1857806798419,857.9076859620831
2019-11-10,1005.9327904112877,1149.8484048080566,882.0740996511558
2019-11-17,978.7454176974691,1119.1857806798419,857.9076859620831
2019-11-24,951.5580449836505,1088.523156551627,833.7412722730103
2019-12-01,951.5580449836505,1088.523156551627,833.7412722730103
2019-12-08,951.5580449836505,1088.523156551627,833.7412722730103
2019-12-15,869.9959268421948,996.5352841669825,761.2420312057922
2019-12-22,869.9959268421948,996.5352841669825,761.2420312057922
2019-12-29,869.9959268421948,996.5352841669825,761.2420312057922
2020-01-05,978.7454176974691,1119.1857806798419,857.9076859620831
2020-01-12,1005.9327904112877,1149.8484048080566,882.0740996511558
2020-01-19,1005.9327904112877,1149.8484048080566,882.0740996511558
2020-01-26,1087.4949085527435,1241.8362771927011,954.5733407183743
2020-02-02,1169.057026694199,1333.8241495773457,1027.0725817855925
2020-02-09,1005.9327904112877,1149.8484048080566,882.0740996511558
2020-02-16,924.370672269832,1057.860532423412,809.5748585839377
2020-02-23,1005.9327904112877,1149.8484048080566,882.0740996511558
2020-03-01,1087.4949085527435,1241.8362771927011,954.5733407183743
2020-03-08,978.7454176974691,1119.1857806798419,857.9076859620831
2020-03-15,761.2464359869205,873.884787654123,664.5763764495011
2020-03-22,897.1832995560134,1027.1979082951973,785.4084448948649
2020-03-29,978.7454176974691,1119.1857806798419,857.9076859620831
2020-04-05,978.7454176974691,1119.1857806798419,857.9076859620831
2020-04-12,1087.4949085527435,1241.8362771927011,954.5733407183743
2020-04-19,1114.6822812665619,1272.4989013209158,978.7397544074471
2020-04-26,1223.4317721218365,1395.1493978337753,1075.405409163738
2020-05-03,1658.4297355429337,1885.7513838852128,1462.0680281889022
2020-05-10,1386.556008404748,1579.1251426030644,1220.4038912981746
2020-05-17,1332.1812629771107,1517.7998943466348,1172.071063920029
2020-05-24,1440.930753832385,1640.4503908594943,1268.7367186763202
2020-05-31,1413.7433811185665,1609.7877667312794,1244.5703049872475
2020-06-07,1495.3054992600223,1701.775639115924,1317.0695460544657
2020-06-14,1223.4317721218365,1395.1493978337753,1075.405409163738
2020-06-21,1277.8065175494735,1456.474646090205,1123.7382365418837
2020-06-28,1277.8065175494735,1456.474646090205,1123.7382365418837
2020-07-05,1277.8065175494735,1456.474646090205,1123.7382365418837
2020-07-12,1250.619144835655,1425.8120219619902,1099.5718228528108
2020-07-19,1250.619144835655,1425.8120219619902,1099.5718228528108
2020-07-26,1223.4317721218365,1395.1493978337753,1075.405409163738
2020-08-02,1413.7433811185665,1609.7877667312794,1244.5703049872475
2020-08-09,1223.4317721218365,1395.1493978337753,1075.405409163738
2020-08-16,1141.8696539803805,1303.1615254491307,1002.9061680965197
2020-08-23,1169.057026694199,1333.8241495773457,1027.0725817855925
2020-08-30,1169.057026694199,1333.8241495773457,1027.0725817855925
2020-09-06,1169.057026694199,1333.8241495773457,1027.0725817855925
2020-09-13,1114.6822812665619,1272.4989013209158,978.7397544074471
2020-09-20,1087.4949085527435,1241.8362771927011,954.5733407183743
2020-09-27,1087.4949085527435,1241.8362771927011,954.5733407183743
2020-10-04,1087.4949085527435,1241.8362771927011,954.5733407183743
2020-10-11,1223.4317721218365,1395.1493978337753,1075.405409163738
2020-10-18,1223.4317721218365,1395.1493978337753,1075.405409163738
2020-10-25,1114.6822812665619,1272.4989013209158,978.7397544074471
2020-11-01,1114.6822812665619,1272.4989013209158,978.7397544074471
2020-11-08,1060.3075358389249,1211.1736530644864,930.4069270293015
2020-11-15,951.5580449836505,1088.523156551627,833.7412722730103
2020-11-22,1060.3075358389249,1211.1736530644864,930.4069270293015
2020-11-29,1005.9327904112877,1149.8484048080566,882.0740996511558
2020-12-06,1060.3075358389249,1211.1736530644864,930.4069270293015
2020-12-13,978.7454176974691,1119.1857806798419,857.9076859620831
2020-12-20,897.1832995560134,1027.1979082951973,785.4084448948649
2020-12-27,951.5580449836505,1088.523156551627,833.7412722730103
